Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd)
Svalbard Lufthavn;SN99840;07.1908;5,4
Svalbard Lufthavn;SN99840;08.1908;4,9
Svalbard Lufthavn;SN99840;09.1908;0,3
Svalbard Lufthavn;SN99840;10.1908;-5,9
Svalbard Lufthavn;SN99840;11.1908;-15,9
Svalbard Lufthavn;SN99840;12.1908;-14,2
Svalbard Lufthavn;SN99840;01.1909;-11,3
Svalbard Lufthavn;SN99840;02.1909;-19,7
Svalbard Lufthavn;SN99840;03.1909;-21,2
Svalbard Lufthavn;SN99840;04.1909;-10,1
Svalbard Lufthavn;SN99840;05.1909;-5
Svalbard Lufthavn;SN99840;06.1909;5,3
Svalbard Lufthavn;SN99840;07.1909;5,1
Svalbard Lufthavn;SN99840;08.1909;4,6
Svalbard Lufthavn;SN99840;09.1909;-1,3
Svalbard Lufthavn;SN99840;10.1909;-7,4
Svalbard Lufthavn;SN99840;11.1909;-12,5
Svalbard Lufthavn;SN99840;12.1909;-13,9
Svalbard Lufthavn;SN99840;01.1910;-14,7
Svalbard Lufthavn;SN99840;02.1910;-14,3
Svalbard Lufthavn;SN99840;03.1910;-13
Svalbard Lufthavn;SN99840;04.1910;-15,4
Svalbard Lufthavn;SN99840;05.1910;-4
Svalbard Lufthavn;SN99840;06.1910;1,5
Svalbard Lufthavn;SN99840;07.1910;4,8
Svalbard Lufthavn;SN99840;08.1910;3,7
Svalbard Lufthavn;SN99840;09.1910;-2,2
Svalbard Lufthavn;SN99840;10.1910;-10,8
Svalbard Lufthavn;SN99840;11.1910;-20,1
Svalbard Lufthavn;SN99840;12.1910;-17,1
Svalbard Lufthavn;SN99840;01.1911;-10,7
Svalbard Lufthavn;SN99840;02.1911;-19,9
Svalbard Lufthavn;SN99840;03.1911;-11,4
Svalbard Lufthavn;SN99840;04.1911;-9,7
Svalbard Lufthavn;SN99840;05.1911;-1,6
Svalbard Lufthavn;SN99840;06.1911;1,2
Svalbard Lufthavn;SN99840;07.1911;4
Svalbard Lufthavn;SN99840;08.1911;4,7
Svalbard Lufthavn;SN99840;09.1911;1,2
Svalbard Lufthavn;SN99840;10.1911;-8,7
Svalbard Lufthavn;SN99840;11.1911;-11,3
Svalbard Lufthavn;SN99840;12.1911;-13,4
Svalbard Lufthavn;SN99840;01.1912;-23,6
Svalbard Lufthavn;SN99840;02.1912;-25,7
Svalbard Lufthavn;SN99840;03.1912;-21,1
Svalbard Lufthavn;SN99840;04.1912;-21,5
Svalbard Lufthavn;SN99840;05.1912;-7,8
Svalbard Lufthavn;SN99840;06.1912;0,9
Svalbard Lufthavn;SN99840;07.1912;4,2
Svalbard Lufthavn;SN99840;08.1912;2,7
Svalbard Lufthavn;SN99840;09.1912;-3,3
Svalbard Lufthavn;SN99840;10.1912;-8,4
Svalbard Lufthavn;SN99840;11.1912;-12,3
Svalbard Lufthavn;SN99840;12.1912;-11,7
Svalbard Lufthavn;SN99840;01.1913;-15,7
Svalbard Lufthavn;SN99840;02.1913;-20,7
Svalbard Lufthavn;SN99840;03.1913;-17,7
Svalbard Lufthavn;SN99840;04.1913;-10,7
Svalbard Lufthavn;SN99840;05.1913;-6,3
Svalbard Lufthavn;SN99840;06.1913;0,1
Svalbard Lufthavn;SN99840;07.1913;4,9
Svalbard Lufthavn;SN99840;08.1913;4,9
Svalbard Lufthavn;SN99840;09.1913;0,3
Svalbard Lufthavn;SN99840;10.1913;-8,3
Svalbard Lufthavn;SN99840;11.1913;-7,6
Svalbard Lufthavn;SN99840;12.1913;-12,3
Svalbard Lufthavn;SN99840;01.1914;-21,3
Svalbard Lufthavn;SN99840;02.1914;-23,5
Svalbard Lufthavn;SN99840;03.1914;-19,6
Svalbard Lufthavn;SN99840;04.1914;-11,4
Svalbard Lufthavn;SN99840;05.1914;-6,3
Svalbard Lufthavn;SN99840;06.1914;2
Svalbard Lufthavn;SN99840;07.1914;5,1
Svalbard Lufthavn;SN99840;08.1914;4,5
Svalbard Lufthavn;SN99840;09.1914;-1,4
Svalbard Lufthavn;SN99840;10.1914;-4,7
Svalbard Lufthavn;SN99840;11.1914;-12,6
Svalbard Lufthavn;SN99840;12.1914;-16,4
Svalbard Lufthavn;SN99840;01.1915;-14,3
Svalbard Lufthavn;SN99840;02.1915;-19,7
Svalbard Lufthavn;SN99840;03.1915;-21
Svalbard Lufthavn;SN99840;04.1915;-11,9
Svalbard Lufthavn;SN99840;05.1915;-10
Svalbard Lufthavn;SN99840;06.1915;1,8
Svalbard Lufthavn;SN99840;07.1915;4,2
Svalbard Lufthavn;SN99840;08.1915;3,5
Svalbard Lufthavn;SN99840;09.1915;-1,1
Svalbard Lufthavn;SN99840;10.1915;-5
Svalbard Lufthavn;SN99840;11.1915;-19,5
Svalbard Lufthavn;SN99840;12.1915;-20,2
Svalbard Lufthavn;SN99840;01.1916;-23,9
Svalbard Lufthavn;SN99840;02.1916;-17,2
Svalbard Lufthavn;SN99840;03.1916;-20,3
Svalbard Lufthavn;SN99840;04.1916;-16,9
Svalbard Lufthavn;SN99840;05.1916;-7,1
Svalbard Lufthavn;SN99840;06.1916;2,6
Svalbard Lufthavn;SN99840;07.1916;5,2
Svalbard Lufthavn;SN99840;08.1916;3,6
Svalbard Lufthavn;SN99840;09.1916;-0,6
Svalbard Lufthavn;SN99840;10.1916;-7
Svalbard Lufthavn;SN99840;11.1916;-17,6
Svalbard Lufthavn;SN99840;12.1916;-18,9
Svalbard Lufthavn;SN99840;01.1917;-23,4
Svalbard Lufthavn;SN99840;02.1917;-27,7
Svalbard Lufthavn;SN99840;03.1917;-26,5
Svalbard Lufthavn;SN99840;04.1917;-23,2
Svalbard Lufthavn;SN99840;05.1917;-10,2
Svalbard Lufthavn;SN99840;06.1917;0,8
Svalbard Lufthavn;SN99840;07.1917;3,5
Svalbard Lufthavn;SN99840;08.1917;2,8
Svalbard Lufthavn;SN99840;09.1917;-3,1
Svalbard Lufthavn;SN99840;10.1917;-7,8
Svalbard Lufthavn;SN99840;11.1917;-13
Svalbard Lufthavn;SN99840;12.1917;-20,3
