Dato;Bokført;Spesifikasjon;Sted;"Valuta
";Utl. beløp;Beløp
10-08;11-08;TIK CAF± & REST;OERSTA;;0,00;149,00
09-08;10-08;DET LILLE NAPOL;@RSTA;;0,00;159,00
08-08;10-08;KIWI 846 MEIERI;OERSTA;;0,00;180,70
07-08;09-08;REMA @RSTA;OERSTA;;0,00;133,77
06-08;08-08;SHELL @RSTA;OERSTA;;0,00;40,00
06-08;07-08;VIPPS*SIGRID VARTDAL;OSLO;;0,00;90,00
05-08;07-08;KIWI 846 MEIERI;OERSTA;;0,00;214,10
04-08;07-08;498 EUROPRIS OR;ORSTA;;0,00;133,80
04-08;07-08;BUNNPRIS @RSTA;OERSTA;;0,00;25,00
03-08;07-08;KIWI 846 MEIERI;OERSTA;;0,00;287,85
03-08;04-08;DET LILLE NAPOL;@RSTA;;0,00;90,00
03-08;04-08;TIK CAF± & REST;OERSTA;;0,00;144,00
02-08;03-08;STODT AS;ORSTA;;0,00;89,00
27-07;28-07;TIK CAF± & REST;OERSTA;;0,00;84,00
27-07;28-07;498 EUROPRIS OR;ORSTA;;0,00;201,00
26-07;28-07;TIK CAF± & REST;OERSTA;;0,00;84,00
26-07;28-07;KIWI 846 MEIERI;OERSTA;;0,00;276,90
26-07;27-07;DET LILLE NAPOL;@RSTA;;0,00;129,00
26-07;27-07;VIPPS*TOM KRISTOFFER L;OSLO;;0,00;120,00
25-07;26-07;TIK CAF± & REST;OERSTA;;0,00;84,00
24-07;26-07;KIWI 846 MEIERI;OERSTA;;0,00;144,60
24-07;25-07;VIPPS*TOM KRISTOFFER L;OSLO;;0,00;148,00
23-07;24-07;VIPPS*STIAN SKAAR;OSLO;;0,00;40,00
23-07;24-07;MORE OG ROMSDAL;KRISTIANSUND;;0,00;107,00
22-07;24-07;TIK CAF± & REST;OERSTA;;0,00;144,00
21-07;24-07;KIWI 846 MEIERI;OERSTA;;0,00;195,70
21-07;24-07;498 EUROPRIS OR;ORSTA;;0,00;199,90
21-07;24-07;APOTEK 1, ORSTA;ORSTA;;0,00;165,75
20-07;24-07;ØRSTA CAMPING;ORSTA;;0,00;293,00
19-07;21-07;KIWI 846 MEIERI;OERSTA;;0,00;212,40
17-07;19-07;KIWI 846 MEIERI;OERSTA;;0,00;274,82
15-07;17-07;KIWI 846 MEIERI;OERSTA;;0,00;261,30
13-07;17-07;KIWI 846 MEIERI;OERSTA;;0,00;251,60
13-07;14-07;VIPPS*HAKON MYDLAND;OSLO;;0,00;3 800,00
12-07;13-07;@RSTA KINO;OERSTA;;0,00;115,00
10-07;12-07;KIWI 846 MEIERI;OERSTA;;0,00;189,70
08-07;10-07;TIK CAF± & REST;OERSTA;;0,00;20,00
07-07;10-07;TIK CAF± & REST;OERSTA;;0,00;20,00
05-07;06-07;SP LURECOLOGNE;STATEN ISLAND;USD;34,99;388,96
Valutakurs: 11.1163 Valutapåslag inngår med 2.00% ;;;;;;
02-07;03-07;EXTRA VAAGSBYGD;KRISTIANSAND;;0,00;159,60
01-07;03-07;PALMESUS;KRISTIANSAND;;0,00;159,00
01-07;03-07;COOP MEGA VAGSBYGD 842;KRISTIANSAND;;0,00;184,70
01-07;03-07;AGDER KOLLEKTIV;KRISTIANSAND;;0,00;100,00
30-06;03-07;PALMESUS;KRISTIANSAND;;0,00;149,00
30-06;03-07;PALMESUS;KRISTIANSAND;;0,00;127,00
30-06;03-07;PALMESUS;KRISTIANSAND;;0,00;329,00
29-06;03-07;MCD 010  KRISTI;KRISTIANSAND;;0,00;99,00
29-06;03-07;REMA V$GSBYGD;KRISTIANSAND;;0,00;724,08
29-06;30-06;VIPPS*AGDER KOLLEKTIVT;OSLO;;0,00;35,00
29-06;30-06;TAXI SOR AS;KRISTIANSAND;;0,00;480,00
29-06;30-06;COOP MEGA VAGSBYGD 842;KRISTIANSAND;;0,00;91,70
29-06;29-06;VIPPS*AGDER KOLLEKTIVT;OSLO;;0,00;35,00
29-06;29-06;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
27-06;29-06;KIWI 803 KRONST;BERGEN;;0,00;137,40
25-06;26-06;PROFF GRILL;BERGEN;;0,00;45,00
25-06;26-06;BUNNPRIS M@LLEN;Bergen;;0,00;231,30
24-06;26-06;Salong Bar B BMMMZRLE;Oslo;;0,00;169,00
24-06;26-06;BILJARDEN;Bergen;;0,00;1 270,00
24-06;26-06;Vipps*Skyss Mobillett;Oslo;;0,00;24,00
23-06;26-06;SAKSEDANS;Bergen;;0,00;504,00
22-06;26-06;KIWI 803 KRONST;Bergen;;0,00;364,04
22-06;26-06;KIWI 803 KRONST;Bergen;;0,00;20,22
20-06;21-06;Vipps*Hakon Mydland;Oslo;;0,00;3 500,00
17-06;19-06;KIWI 803 KRONST;BERGEN;;0,00;190,10
16-06;19-06;KIWI 803 KRONST;BERGEN;;0,00;306,00
15-06;19-06;KIWI 803 KRONST;BERGEN;;0,00;117,28
07-06;08-06;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
05-06;06-06;ARSTAD IDRETTSE;BERGEN;;0,00;99,00
04-06;05-06;LILLE;BERGEN;;0,00;278,00
04-06;05-06;IBSEN RESTAURANT & BAR;BERGEN;;0,00;65,00
03-06;05-06;VIPPS*HAKON MYDLAND;OSLO;;0,00;90,00
03-06;05-06;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
03-06;05-06;IBOOKING AS;BODOE;;0,00;442,64
03-06;05-06;KIWI 803 KRONST;BERGEN;;0,00;138,80
03-06;05-06;REMA LYNGHAUGPA;FYLLINGSDALEN;;0,00;53,70
02-06;05-06;KIWI 803 KRONST;BERGEN;;0,00;116,60
02-06;05-06;ESSO FREKHAUG;FREKHAUG;;0,00;48,00
31-05;02-06;KIWI 803 KRONST;BERGEN;;0,00;276,74
29-05;30-05;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;95,67
27-05;30-05;MUSKEDUNDER;BERGEN;;0,00;136,00
27-05;30-05;SUMUP  *HAILU SERVICE;BREISTEIN;;0,00;288,00
27-05;30-05;TICKETMASTER NO BILLE;OSLO;;0,00;787,50
27-05;30-05;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;253,98
26-05;30-05;VIPPS*HAKON MYDLAND;OSLO;;0,00;1 600,00
24-05;26-05;WIDEROE 7012131596435;BODO;;0,00;598,00
23-05;24-05;KIWI 803 KRONST;BERGEN;;0,00;93,00
22-05;23-05;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;165,55
22-05;22-05;VIPPS*HAKON MYDLAND;OSLO;;0,00;3 500,00
20-05;22-05;KIWI 803 KRONST;BERGEN;;0,00;473,17
20-05;22-05;KIWI 803 KRONST;BERGEN;;0,00;119,20
19-05;22-05;SIBKAFE HIBKRON;BERGEN;;0,00;68,85
11-05;12-05;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
11-05;12-05;NYX*BERGENSTORSENTERAN;OSLO;;0,00;15,00
06-05;08-05;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;216,83
02-05;04-05;KIWI 803 KRONST;BERGEN;;0,00;152,90
02-05;03-05;MAT -668;TROMSO;;0,00;106,00
02-05;03-05;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
26-04;27-04;VIPPS*HAKON MYDLAND;OSLO;;0,00;2 000,00
26-04;27-04;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
25-04;27-04;KIWI 803 KRONST;BERGEN;;0,00;36,30
25-04;26-04;1454 EXTRA DANMARKSPLA;BERGEN;;0,00;224,85
24-04;25-04;VIPPS*SKYSS MOBILLETT;OSLO;;0,00;24,00
11-04;13-04;POINT (5015009);BODOE;;0,00;94,00
09-04;11-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;430,00
09-04;11-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;150,00
09-04;11-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;125,00
09-04;11-04;LOFOTEN MAT OG VIN;STAMSUND;;0,00;180,00
08-04;11-04;VIPPS*BENJAMIN MATHISE;OSLO;;0,00;240,00
08-04;11-04;BUNNPRIS & GOUR;LEKNES;;0,00;281,60
05-04;11-04;2473 EXTRA LEKNES;LEKNES;;0,00;107,40
05-04;11-04;UNSTAD ARCTIC SURF AS;BOSTAD;;0,00;171,00
03-04;04-04;VIPPS*TORJE JOHANSEN;OSLO;;0,00;2 200,00
